vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,p_lon,p_lat,rate_code,store_and_fwd_flag,d_lon,d_lat,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 06:31:49 UTC,2016-06-15 06:38:49 UTC,1,0.8,-73.9904556274414,40.756256103515625,1,N,-73.97859191894531,40.75466537475585,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
1,2016-06-15 06:31:53 UTC,2016-06-15 06:38:00 UTC,1,1.1,-73.99171447753906,40.750244140625,1,N,-73.9798355102539,40.752296447753906,1,6.5,0.0,0.5,1.5,0.0,0.3,8.8
2,2016-06-15 06:31:58 UTC,2016-06-15 06:38:02 UTC,1,0.99,-73.98097229003906,40.74456024169922,1,N,-73.9948501586914,40.74531555175781,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2016-06-15 06:32:09 UTC,2016-06-15 06:35:58 UTC,1,1.08,-73.97933959960938,40.74050903320313,1,N,-73.97421264648438,40.75423049926758,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
2,2016-06-15 06:32:09 UTC,2016-06-15 06:39:12 UTC,1,1.16,-73.99166870117188,40.74982833862305,1,N,-73.97489929199219,40.74203872680664,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-06-15 06:32:12 UTC,2016-06-15 06:39:48 UTC,1,1.38,-73.9938201904297,40.74588012695313,1,N,-73.98857879638672,40.75865936279297,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1,2016-06-15 06:32:13 UTC,2016-06-15 06:38:04 UTC,1,1.0,-73.99022674560547,40.75620651245117,1,N,-73.9775390625,40.760841369628906,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
1,2016-06-15 06:32:13 UTC,2016-06-15 06:38:49 UTC,1,1.5,-73.98373413085938,40.75871276855469,1,N,-73.96160125732422,40.75872039794922,1,7.0,0.0,0.5,1.2,0.0,0.3,9.0
2,2016-06-15 06:32:13 UTC,2016-06-15 06:37:30 UTC,1,0.83,-73.99192810058595,40.74959945678711,1,N,-73.98489379882812,40.75432968139648,1,5.5,0.0,0.5,1.58,0.0,0.3,7.88
1,2016-06-15 06:32:14 UTC,2016-06-15 06:34:22 UTC,1,0.6,-73.97722625732422,40.7563591003418,1,N,-73.97703552246094,40.762020111083984,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
1,2016-06-15 06:32:15 UTC,2016-06-15 06:41:37 UTC,1,1.3,-73.98081970214845,40.74210739135742,1,N,-73.98694610595702,40.75544738769531,1,8.0,0.0,0.5,2.6,0.0,0.3,11.4
2,2016-06-15 06:32:18 UTC,2016-06-15 06:37:55 UTC,1,1.12,-73.99198150634766,40.74945068359375,1,N,-73.97811126708984,40.75592803955078,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-06-15 06:32:18 UTC,2016-06-15 06:44:57 UTC,3,1.07,-73.99403381347656,40.75086975097656,1,N,-73.97693634033203,40.74504089355469,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
2,2016-06-15 06:32:20 UTC,2016-06-15 06:38:52 UTC,5,1.26,-73.9871826171875,40.7605094909668,1,N,-73.99493408203125,40.75026321411133,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
2,2016-06-15 06:32:21 UTC,2016-06-15 06:43:32 UTC,1,1.25,-73.99446868896483,40.750267028808594,1,N,-73.97737884521484,40.75064086914063,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
2,2016-06-15 06:32:22 UTC,2016-06-15 06:36:04 UTC,6,0.94,-73.96736907958984,40.759441375732415,1,N,-73.97531127929686,40.75241088867188,1,5.0,0.0,0.5,1.74,0.0,0.3,7.54
2,2016-06-15 06:32:22 UTC,2016-06-15 06:37:41 UTC,1,1.14,-73.9917984008789,40.749759674072266,1,N,-73.97750854492188,40.75566101074219,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
1,2016-06-15 06:32:23 UTC,2016-06-15 06:40:39 UTC,1,1.7,-73.99137115478516,40.7502555847168,1,N,-73.97349548339844,40.758705139160156,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
2,2016-06-15 06:32:24 UTC,2016-06-15 06:33:57 UTC,3,0.42,-73.97743225097656,40.75237655639648,1,N,-73.98411560058595,40.75485610961913,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
2,2016-06-15 06:32:26 UTC,2016-06-15 06:36:32 UTC,1,0.62,-73.97518920898438,40.75967025756836,1,N,-73.96808624267578,40.76005172729492,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 06:32:29 UTC,2016-06-15 06:40:45 UTC,1,2.1,-73.9932632446289,40.74148178100585,1,N,-73.9702377319336,40.75745391845703,1,8.5,0.0,0.5,2.3,0.0,0.3,11.6
1,2016-06-15 06:32:33 UTC,2016-06-15 06:36:15 UTC,1,1.0,-73.9914779663086,40.75021743774415,1,N,-73.99272155761719,40.74131774902344,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2016-06-15 06:32:35 UTC,2016-06-15 06:36:12 UTC,1,0.76,-73.99181365966798,40.74972534179688,1,N,-73.98229217529298,40.75282669067383,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 06:32:36 UTC,2016-06-15 06:40:23 UTC,2,1.8,-73.99138641357422,40.75022506713867,1,N,-73.96956634521484,40.7613525390625,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,2016-06-15 06:32:36 UTC,2016-06-15 06:39:09 UTC,1,1.31,-73.99090576171875,40.75107955932617,1,N,-73.9766845703125,40.75709533691406,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:32:38 UTC,2016-06-15 06:35:49 UTC,1,0.8,-73.99171447753906,40.75979232788085,1,N,-73.98011779785155,40.760738372802734,1,4.5,0.0,0.5,1.0,0.0,0.3,6.3
1,2016-06-15 06:32:39 UTC,2016-06-15 06:41:14 UTC,1,1.2,-73.99915313720702,40.76147079467773,1,N,-73.99520874023438,40.749961853027344,1,7.5,0.0,0.5,1.7,0.0,0.3,10.0
2,2016-06-15 06:32:48 UTC,2016-06-15 06:40:45 UTC,6,1.99,-73.99192810058595,40.74995040893555,1,N,-73.96736145019531,40.76219177246094,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
1,2016-06-15 06:32:50 UTC,2016-06-15 06:38:03 UTC,1,0.7,-73.99126434326173,40.75028610229492,1,N,-73.98377227783203,40.75548934936523,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
2,2016-06-15 06:32:51 UTC,2016-06-15 06:37:45 UTC,1,0.69,-73.9940414428711,40.75126647949219,1,N,-73.996826171875,40.7579460144043,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
2,2016-06-15 06:32:53 UTC,2016-06-15 06:40:37 UTC,1,0.81,-73.99046325683594,40.75083923339844,1,N,-73.97676086425781,40.74528884887695,1,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,2016-06-15 06:32:55 UTC,2016-06-15 06:37:26 UTC,1,0.47,-73.97241973876955,40.74713134765625,1,N,-73.97599792480467,40.75175094604492,1,5.0,0.0,0.5,1.16,0.0,0.3,8.91
2,2016-06-15 06:32:57 UTC,2016-06-15 06:37:20 UTC,5,0.66,-73.9906234741211,40.75107955932617,1,N,-73.9794692993164,40.75116729736328,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2,2016-06-15 06:33:00 UTC,2016-06-15 06:42:20 UTC,1,2.43,-74.0,40.743011474609375,1,N,-73.9718017578125,40.757808685302734,1,9.5,0.0,0.5,1.7,0.0,0.3,12.0
1,2016-06-15 06:33:00 UTC,2016-06-15 06:35:01 UTC,1,0.7,-73.99140167236328,40.745281219482415,1,N,-73.98435974121094,40.75488662719727,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76
1,2016-06-15 06:33:02 UTC,2016-06-15 06:39:49 UTC,1,1.1,-73.9912109375,40.75052261352539,1,N,-73.98151397705078,40.75981903076172,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
2,2016-06-15 06:33:02 UTC,2016-06-15 06:40:16 UTC,1,1.3,-73.9780044555664,40.745872497558594,1,N,-73.9775390625,40.7596549987793,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,2016-06-15 06:33:05 UTC,2016-06-15 06:36:30 UTC,1,0.58,-73.98806762695312,40.74398040771485,1,N,-73.99726104736328,40.746498107910156,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
1,2016-06-15 06:33:05 UTC,2016-06-15 06:37:06 UTC,1,0.6,-73.96501159667969,40.755836486816406,1,N,-73.9748306274414,40.75858688354492,1,4.5,0.0,0.5,0.79,0.0,0.3,6.09
1,2016-06-15 06:33:08 UTC,2016-06-15 06:39:39 UTC,1,0.9,-73.9939956665039,40.75104522705078,1,N,-73.9975357055664,40.76059341430664,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:33:10 UTC,2016-06-15 06:40:07 UTC,2,1.5,-73.99042510986328,40.75105667114258,1,N,-73.9724349975586,40.758296966552734,1,7.0,0.0,0.5,2.0,0.0,0.3,9.8
1,2016-06-15 06:33:11 UTC,2016-06-15 06:41:50 UTC,1,1.0,-73.97335052490234,40.756023406982415,1,N,-73.98392486572266,40.744232177734375,1,7.5,0.0,0.5,2.45,0.0,0.3,10.75
